[0627/190509.000:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0628/020110.601:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020115.617:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020120.631:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020125.647:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020130.660:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020135.680:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020140.692:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020145.716:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020150.735:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020155.752:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020200.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020205.774:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020210.785:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020215.794:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020220.806:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020225.827:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020230.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020235.861:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020240.876:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020245.882:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020250.890:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020255.899:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020300.918:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020305.939:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020310.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020315.969:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020320.988:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020326.012:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020331.026:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/020336.047:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
